start,end,text
388.25,391.759,"this kind of bleeds into the content"
389.75,393.59,"plan which is the pairing and placement"
391.759,395.63,"of photos on the grid so if you want to"
393.59,397.31,"up this game and make it into something"
395.63,399.44,"where prospective business clients and"
397.31,402.199,"advertisers and friends of photographers"
399.44,405.11,"and fans come to your account and are"
402.199,407.24,"genuinely inspired and in awe of the"
405.11,408.889,"work if you put into this you need to"
407.24,411.53000000000003,"make a Content plan you need to figure"
408.889,413.449,"out okay this week I've got seven photos"
411.53,415.06899999999996,"to post I'm going to post them in this"
413.449,417.5,"order because this is the most pleasing"
415.069,418.759,"order that makes sense to display and"
417.5,420.5,"get the most out of these images I've"
418.759,422.75,"got four of buildings I'm not going to"
420.5,423.68,"post all those in a row because people"
422.75,425,"are going to get tired of seeing"
423.68,427.34000000000003,"building after building after building"
425,428.9,"but I've also got one of the sky and"
427.34,430.48999999999995,"I've got this great one inside a coffee"
428.9,432.53,"shop and I've got this amazing portrait"
430.49,434.06,"of someone in an alley maybe start with"
432.53,436.30999999999995,"the buildings then you go to the coffee"
434.06,437.27,"shop then you go to the sky then you go"
436.31,438.59,"to the portrait or someone in the"
437.27,440.99,"building and then you post the next"
438.59,444.169,"actual cityscape so that it's not all"
440.99,446.569,"just bunched up into one cluster you"
444.169,448.88,"want to take time to pair and place all"
446.569,450.62,"those shot like a curator with pair and"
448.88,452.539,"place different paintings with different"
450.62,454.46,"pieces of art in a museum if they have"
452.539,455.69,"ten really incredible artists they're"
454.46,456.94899999999996,"not going to throw them all on one wall"
455.69,458.57,"and be like there you go they're going"
456.949,461.3,"to make an installment they're going to"
458.57,463.61,"make an art piece and experience for you"
461.3,466.19,"to go to and walk throughout this place"
463.61,468.97900000000004,"to experience everyone's art it takes"
466.19,470.57,"skill takes time takes dedication the"
468.979,472.849,"same thing goes through Instagram"
470.57,474.59,"account it does sound silly like where"
472.849,477.68,"you're curating your own Instagram"
474.59,480.10999999999996,"account hell yes absolutely I am it's a"
477.68,483.38,"digital representation of me of Who I am"
480.11,485.09000000000003,"as an artist in today's day and age if"
483.38,487.639,"you want to take this seriously and"
485.09,490.00899999999996,"leverage the power of social media and"
487.639,491.569,"Instagram these are steps that you need"
490.009,493.49,"to be taking now funny thing with"
491.569,495.05,"Instagram is they're constantly rolling"
493.49,496.40000000000003,"out new updates and it's important to"
495.05,497.69,"leverage those updates and take"
496.4,500.419,"advantage of them because they're made"
497.69,502.099,"and they're designed and coded for very"
500.419,504.10999999999996,"specific reasons because they're popular"
502.099,506.599,"let's take Instagram stories for example"
504.11,508.72900000000004,"an incredible way to further connect and"
506.599,511.159,"engage with your audience what can we do"
508.729,513.26,"as photographers as filmmakers to make"
511.159,515.479,"our Instagram stories better or you"
513.26,517.789,"guessed it instead of just filming them"
515.479,519.469,"on our phone you can actually film them"
517.789,519.87,"on your camera whatever it is that"
519.469,522.63,"you're you"
519.87,524.37,"and edit them in Premiere and then send"
522.63,526.8,"them back to your phone and upload them"
524.37,528.3,"to Instagram sounds like a lot of work I"
526.8,530.6999999999999,"know you're like really you're going to"
528.3,532.1099999999999,"do that for like a 60 second Instagram"
530.7,534.1800000000001,"story that's going to be gone in 24"
532.11,536.58,"hours that's what makes the difference"
534.18,538.7099999999999,"though that's going the extra-mile"
536.58,540.8100000000001,"that's making you stand out that's what"
538.71,542.94,"I'm trying to get across it's going the"
540.81,544.9499999999999,"extra-mile it's maintaining that grid"
542.94,547.11,"it's creating the colors because that"
544.95,550.5300000000001,"separates you from being just another"
547.11,552.69,"account on Instagram - holy Sh this"
550.53,554.64,"guy's account is amazing you guys need"
552.69,556.71,"to go check him out and if you're trying"
554.64,558.5699999999999,"to leverage social media you're trying"
556.71,560.13,"to make a splash or trying to break in"
558.57,561.69,"these are the things you need to be"
560.13,563.61,"doing so how do we make a better"
561.69,565.86,"Instagram story how do we make something"
563.61,568.23,"that we would typically shoot and make"
565.86,569.34,"it ten times better this is how we would"
568.23,571.53,"do it let's say we're going to make"
569.34,573.3000000000001,"coffee surprise I could just go make"
571.53,575.1,"coffee and fill myself one hand and like"
573.3,577.05,"oh hey what's up guys or just pour"
575.1,579.09,"coffee here and look have a good Monday"
577.05,580.74,"that's fine people like that or"
579.09,583.77,"something can be said about raw organic"
580.74,586.05,"behind the scenes kind of content but we"
583.77,588.6,"can still deliver that content in a more"
586.05,591.4399999999999,"visually aesthetic pleasing way once you"
588.6,594.33,"were in Premiere go over to file new"
591.44,596.75,"sequence once that's open hit settings"
594.33,600.99,"we're going to change that vertical to"
596.75,602.88,"1600 by nine hundred ohm right there 60"
600.99,607.52,"hundred by nine hundred and our editing"
602.88,611.22,"mode is going to be customs at 24 frames"
607.52,614.31,"23.976 frames per second and make sure"
611.22,616.35,"maximum render quality is output and ok"
614.31,618.66,"boom now you can see we've got a"
616.35,620.73,"vertical timeline so once we dump all of"
618.66,623.4599999999999,"our clips into here we can edit them in"
620.73,625.86,"this vertical timeline and then export"
623.46,627.5400000000001,"that for Instagram stories okay once we"
625.86,629.04,"have all of our clips you just start"
627.54,631.0799999999999,"editing at it the same way you'd edit"
629.04,633.63,"anything else so let's see putting this"
631.08,635.0400000000001,"down boom there's one when you drop your"
633.63,636.6,"footage onto the timeline it's going to"
635.04,638.2199999999999,"want to change the sequence settings to"
636.6,641.01,"match the clip that we just imported"
638.22,642.69,"however we want to keep that sequence"
641.01,644.4,"setting with the vertical format so"
642.69,646.2,"we're going to have to do is manually"
644.4,648,"adjust the size and the scale of our"
646.2,649.9100000000001,"footage to match that of the vertical"
648,651.95,"story so you will lose something from"
649.91,653.18,"so it's important to keep that in mind"
651.95,654.44,"when you're shooting maybe shoot"
653.18,656.4499999999999,"everything a little bit wider so that"
654.44,658.19,"you know when you go to scale you're"
656.45,660.32,"going to lose left and right depending"
658.19,662.0600000000001,"on what it is that you shot keep that in"
660.32,665.0300000000001,"mind so for example this is our first"
662.06,667.9399999999999,"shot that's coffee foam coming in but"
665.03,669.35,"you can see completely we got space on"
667.94,670.6400000000001,"the top and on the bottom we don't want"
669.35,672.74,"that so we'll come in here to effect"
670.64,675.6999999999999,"controls and we'll just scale that up"
672.74,679.73,"until it meet and then we can decide"
675.7,681.4100000000001,"using the position where it is perfectly"
679.73,683.9,"fitting in the center so right there"
681.41,686.9,"boom so that's our first clip zoom in a"
683.9,688.49,"little bit more poem that goes down now"
686.9,689.9,"the key when you're doing quick cutting"
688.49,692.1800000000001,"especially for Instagram stories you"
689.9,693.8299999999999,"keep everything as short as you can your"
692.18,696.7099999999999,"brain will still process it but we don't"
693.83,699.08,"need to to have 10 seconds of me putting"
696.71,700.9100000000001,"down a connection it can just be a quick"
699.08,705.74,"second your brain will register that"
700.91,707.51,"next clip I put the cup down so let's go"
705.74,711.44,"to the frame we're actually set the cup"
707.51,714.11,"down in points done out drag that to our"
711.44,718.7,"timeline click on that clip respect"
714.11,720.86,"controls make sure this is at 1:48 and"
718.7,722.69,"then we scale that over so we can see"
720.86,727.3100000000001,"the cup being inputted now let's take a"
722.69,728.57,"look pretty good do that for the rest of"
727.31,731.4399999999999,"the Instagram story and you get"
728.57,731.44,"something that looks like this"
731.49,734.74,"[Music]"
737.67,745.5999999999999,"let's go ahead and hit file export media"
742.86,749.16,"let's just name our sequence coffee"
745.6,753.16,"story and we'll save that to the desktop"
749.16,755.0799999999999,"let's go down to YouTube 1080p we're"
753.16,757.3299999999999,"going to hit match source which locks in"
755.08,761.6500000000001,"that codec use maximum render quality"
757.33,763.9000000000001,"and export and there we go that is"
761.65,765.4599999999999,"almost done okay once that's exported"
763.9,767.9399999999999,"you come over here to your desktop and"
765.46,769.12,"right click hit share if you're on a Mac"
767.94,771.5500000000001,"airdrops"
769.12,773.47,"make sure your phone is in reach you're"
771.55,775.66,"going to open up your phone it's going"
773.47,778.63,"to show there you're going to hit Peter"
775.66,781.2099999999999,"McKinnon that video is now on my phone"
778.63,783.61,"and I have lost zero quality and it is"
781.21,785.08,"ready to upload to Instagram stores if"
783.61,787.36,"you guys want to see it head over to my"
785.08,789.1,"Instagram and check it out give it some"
787.36,791.08,"love not many people are willing to put"
789.1,792.6700000000001,"in the work but you are that's why"
791.08,794.32,"you're watching this video if you didn't"
792.67,795.79,"care at all you wouldn't even click this"
794.32,797.5300000000001,"he's like I don't care about crushing my"
795.79,799.42,"Instagram gain because it's not a"
797.53,800.8,"priority to me but it's a priority to"
799.42,803.38,"use that's why you're watching me right"
800.8,805.3299999999999,"now it's hard work but hard work pays"
803.38,808.21,"off now a lot of these tips weren't"
805.33,809.5,"necessarily photo based I'm teaching you"
808.21,811.33,"more about the platform and how to"
809.5,813.28,"leverage the skills of photography that"
811.33,815.83,"you already have to make them work"
813.28,817.2099999999999,"better for Instagram so that's it for me"
815.83,819.0400000000001,"today guys I hope you liked this video"
817.21,821.23,"if you did hit that thumbs up button it"
819.04,823.15,"helps me subscribe if you aren't already"
821.23,825.5500000000001,"and give me a follow on Instagram my"
823.15,826.81,"account is look right there I'd love to"
825.55,828.79,"see what you guys are coming up with and"
826.81,831.4,"creating because at the end of the day"
828.79,835.06,"we're just a big community all trying to"
831.4,837.49,"improve our own skills so I love that"
835.06,838.93,"we're doing it together and I'm excited"
837.49,841.21,"for the future and I will see you guys"
838.93,853.88,"in the next video"
841.21,853.88,"[Music]"
